Timestamp,CPU_Total%,GPU_Total%,RAM_Used_GB,RAM_Total_GB,Power_Total_mW,Temp_GPU_C,Temp_CPU_C
23:45:21,0.0,22.6,0.00,0.00,0,0,0
23:45:22,0.0,51.0,0.00,0.00,0,0,0
23:45:23,0.0,22.6,0.00,0.00,0,0,0
23:45:24,0.0,23.6,0.00,0.00,0,0,0
23:45:25,0.0,58.7,0.00,0.00,0,0,0
23:45:26,0.0,78.7,0.00,0.00,0,0,0
23:45:27,0.0,52.3,0.00,0.00,0,0,0
23:45:28,0.0,64.8,0.00,0.00,0,0,0
23:45:29,0.0,41.4,0.00,0.00,0,0,0
23:45:30,0.0,5.3,0.00,0.00,0,0,0
23:45:31,0.0,48.4,0.00,0.00,0,0,0
23:45:32,0.0,4.7,0.00,0.00,0,0,0
23:45:33,0.0,48.4,0.00,0.00,0,0,0
23:45:34,0.0,69.9,0.00,0.00,0,0,0
23:45:35,0.0,45.4,0.00,0.00,0,0,0
23:45:36,0.0,2.2,0.00,0.00,0,0,0
23:45:37,0.0,28.8,0.00,0.00,0,0,0
23:45:38,0.0,2.2,0.00,0.00,0,0,0
23:45:39,0.0,46.4,0.00,0.00,0,0,0
23:45:40,0.0,76.5,0.00,0.00,0,0,0
23:45:41,0.0,60.6,0.00,0.00,0,0,0
23:45:42,0.0,74.8,0.00,0.00,0,0,0
23:45:43,0.0,36.8,0.00,0.00,0,0,0
23:45:44,0.0,10.7,0.00,0.00,0,0,0
23:45:45,0.0,37.9,0.00,0.00,0,0,0
23:45:46,0.0,76.2,0.00,0.00,0,0,0
23:45:47,0.0,49.7,0.00,0.00,0,0,0
23:45:48,0.0,72.0,0.00,0.00,0,0,0
23:45:49,0.0,49.7,0.00,0.00,0,0,0
23:45:50,0.0,3.3,0.00,0.00,0,0,0
23:45:51,0.0,23.4,0.00,0.00,0,0,0
23:45:52,0.0,3.5,0.00,0.00,0,0,0
23:45:53,0.0,38.4,0.00,0.00,0,0,0
23:45:54,0.0,63.9,0.00,0.00,0,0,0
23:45:55,0.0,55.7,0.00,0.00,0,0,0
23:45:56,0.0,7.0,0.00,0.00,0,0,0
23:45:57,0.0,56.9,0.00,0.00,0,0,0
23:45:58,0.0,7.0,0.00,0.00,0,0,0
23:45:59,0.0,34.3,0.00,0.00,0,0,0
23:46:00,0.0,58.8,0.00,0.00,0,0,0
23:46:01,0.0,60.7,0.00,0.00,0,0,0
23:46:02,0.0,76.7,0.00,0.00,0,0,0
23:46:03,0.0,45.4,0.00,0.00,0,0,0
23:46:04,0.0,13.2,0.00,0.00,0,0,0
23:46:05,0.0,31.0,0.00,0.00,0,0,0
23:46:06,0.0,1.3,0.00,0.00,0,0,0
23:46:07,0.0,30.9,0.00,0.00,0,0,0
23:46:08,0.0,72.6,0.00,0.00,0,0,0
23:46:09,0.0,49.1,0.00,0.00,0,0,0
23:46:10,0.0,25.0,0.00,0.00,0,0,0
23:46:11,0.0,53.9,0.00,0.00,0,0,0
23:46:12,0.0,12.2,0.00,0.00,0,0,0
23:46:13,0.0,15.1,0.00,0.00,0,0,0
23:46:14,0.0,51.0,0.00,0.00,0,0,0
23:46:15,0.0,66.3,0.00,0.00,0,0,0
